Date,Open,High,Low,Close,Adj Close,Volume
1994-01-31,48.0625,48.3125,48.0,48.21875,28.932172775268555,313800
1994-02-01,48.15625,48.15625,47.90625,47.96875,28.78217887878418,303600
1994-02-02,48.125,48.28125,48.09375,48.28125,28.969680786132812,307600
1994-02-03,48.1875,48.1875,47.90625,48.0625,28.838417053222656,466100
1994-02-04,48.0625,48.125,46.96875,46.96875,28.182159423828125,1403200
1994-02-07,46.84375,47.3125,46.84375,47.1875,28.313419342041016,516400
1994-02-08,47.28125,47.28125,47.03125,47.21875,28.3321590423584,188200
1994-02-09,47.25,47.4375,47.1875,47.40625,28.444665908813477,144600
1994-02-10,47.375,47.40625,47.0,47.0,28.200908660888672,883900
1994-02-11,47.03125,47.28125,46.8125,47.15625,28.294647216796875,519400
1994-02-14,47.0625,47.375,47.0,47.21875,28.3321590423584,2742100
1994-02-15,47.3125,47.5,47.25,47.46875,28.482166290283203,374700
1994-02-16,47.53125,47.53125,47.34375,47.4375,28.463397979736328,287600
1994-02-17,47.65625,47.6875,47.03125,47.15625,28.294647216796875,342400
1994-02-18,47.1875,47.21875,46.75,46.875,28.125900268554688,313300
1994-02-22,47.0,47.34375,47.0,47.34375,28.407163619995117,154500
1994-02-23,47.40625,47.4375,47.0625,47.21875,28.3321590423584,391700
1994-02-24,47.0625,47.0625,46.5625,46.59375,27.957151412963867,770800
1994-02-25,46.65625,46.8125,46.5625,46.8125,28.088409423828125,531300
1994-02-28,46.9375,47.0625,46.8125,46.8125,28.088409423828125,333000
1994-03-01,46.8125,46.90625,46.375,46.625,27.975900650024414,423600
1994-03-02,46.03125,46.6875,45.90625,46.6875,28.013391494750977,581500
1994-03-03,46.625,46.625,46.4375,46.5625,27.938398361206055,223200
1994-03-04,46.5625,46.8125,46.40625,46.6875,28.013391494750977,595800
1994-03-07,46.84375,47.0,46.84375,46.9375,28.16341209411621,539800
1994-03-08,46.96875,46.96875,46.6875,46.75,28.050907135009766,880300
1994-03-09,46.8125,47.0,46.59375,46.96875,28.182159423828125,2500100
1994-03-10,46.9375,46.9375,46.4375,46.59375,27.957151412963867,207400
1994-03-11,46.65625,46.90625,46.40625,46.84375,28.107158660888672,576600
1994-03-14,47.03125,47.03125,46.84375,46.90625,28.144670486450195,345900
1994-03-15,47.0,47.09375,46.84375,46.875,28.125900268554688,748600
1994-03-16,46.9375,47.25,46.78125,47.25,28.35091781616211,455500
1994-03-17,47.09375,47.3125,47.09375,47.25,28.35091781616211,133000
1994-03-18,46.75,47.03125,46.71875,46.96875,28.3447265625,365500
1994-03-21,46.8125,46.9375,46.71875,46.84375,28.269296646118164,324800
1994-03-22,46.84375,47.0625,46.75,46.96875,28.3447265625,435700
1994-03-23,46.9375,47.0625,46.90625,46.9375,28.32587432861328,698500
1994-03-24,46.75,46.84375,46.15625,46.375,27.986404418945312,1200500
1994-03-25,46.40625,46.53125,45.9375,45.9375,27.72238540649414,100900
1994-03-28,46.0,46.0625,45.59375,46.0,27.760108947753906,1117200
1994-03-29,46.0,46.03125,45.09375,45.09375,27.213193893432617,338400
1994-03-30,45.125,45.25,44.46875,44.46875,26.836023330688477,1123900
1994-03-31,44.46875,44.6875,43.53125,44.59375,26.911449432373047,788800
1994-04-04,43.34375,44.03125,43.34375,43.90625,26.496559143066406,2627300
1994-04-05,44.34375,44.8125,44.34375,44.8125,27.043466567993164,1179000
1994-04-06,44.875,44.90625,44.5,44.8125,27.043466567993164,516500
1994-04-07,44.78125,45.125,44.53125,45.03125,27.17547035217285,666100
1994-04-08,44.9375,44.9375,44.46875,44.6875,26.968036651611328,242400
1994-04-11,44.8125,45.0625,44.703125,44.875,27.081188201904297,203300
1994-04-12,44.921875,45.0,44.71875,44.8125,27.043466567993164,1409200
1994-04-13,44.796875,44.90625,44.25,44.578125,26.902034759521484,364100
1994-04-14,44.5,44.828125,44.40625,44.59375,26.911449432373047,419900
1994-04-15,44.578125,44.78125,44.515625,44.59375,26.911449432373047,387300
1994-04-18,44.640625,44.765625,44.15625,44.296875,26.732295989990234,369100
1994-04-19,44.25,44.53125,43.984375,44.359375,26.770021438598633,472200
1994-04-20,44.40625,44.515625,44.078125,44.3125,26.741722106933594,508000
1994-04-21,44.5,44.96875,44.34375,44.90625,27.100048065185547,200300
1994-04-22,45.015625,45.046875,44.734375,44.859375,27.071744918823242,301800
1994-04-25,44.84375,45.359375,44.84375,45.328125,27.35463523864746,394600
1994-04-26,45.265625,45.34375,45.1875,45.28125,27.326353073120117,399000
1994-04-28,45.1875,45.25,44.8125,44.953125,27.128339767456055,287000
1994-04-29,44.875,45.15625,44.8125,45.09375,27.213193893432617,481900
1994-05-02,45.09375,45.71875,44.9375,45.375,27.3829402923584,275000
1994-05-03,45.390625,45.40625,45.0625,45.328125,27.35463523864746,183400
1994-05-04,45.421875,45.421875,45.078125,45.25,27.30750274658203,401900
1994-05-05,45.296875,45.375,45.1875,45.1875,27.269779205322266,659800
1994-05-06,44.96875,44.96875,44.59375,44.75,27.00575828552246,216300
1994-05-09,44.625,44.75,44.28125,44.359375,26.770021438598633,499300
1994-05-10,44.578125,44.84375,44.546875,44.703125,26.977458953857422,583400
1994-05-11,44.65625,44.71875,44.171875,44.296875,26.732295989990234,210600
1994-05-12,44.578125,44.625,44.40625,44.515625,26.86431312561035,305200
1994-05-13,44.640625,44.640625,44.296875,44.515625,26.86431312561035,321300
1994-05-16,44.609375,44.75,44.515625,44.53125,26.873748779296875,450400
1994-05-17,44.5625,45.1875,44.5,45.1875,27.269779205322266,470200
1994-05-18,45.21875,45.6875,45.015625,45.515625,27.46780776977539,824800
1994-05-19,45.421875,45.859375,45.421875,45.734375,27.599794387817383,531000
1994-05-20,45.65625,45.6875,45.5,45.5625,27.496068954467773,370400
1994-05-23,45.515625,45.53125,45.34375,45.484375,27.448942184448242,262700
1994-05-24,45.609375,45.84375,45.609375,45.671875,27.562089920043945,549600
1994-05-25,45.5,45.828125,45.34375,45.796875,27.637529373168945,738200
1994-05-26,45.78125,45.9375,45.734375,45.828125,27.6563777923584,369600
1994-05-27,45.75,45.875,45.671875,45.875,27.684667587280273,162000
1994-05-31,45.734375,45.90625,45.65625,45.8125,27.64695167541504,160000
1994-06-01,45.703125,46.015625,45.5625,46.015625,27.769535064697266,200500
1994-06-02,46.046875,46.046875,45.890625,45.96875,27.74124526977539,55100
1994-06-03,46.0,46.390625,45.859375,46.234375,27.901538848876953,550400
1994-06-06,46.328125,46.46875,46.1875,46.21875,27.892112731933594,99300
1994-06-07,46.140625,46.21875,46.03125,46.15625,27.854394912719727,120600
1994-06-08,46.265625,46.265625,45.78125,45.78125,27.628082275390625,131900
1994-06-09,45.984375,46.03125,45.890625,46.03125,27.778966903686523,80500
1994-06-10,46.078125,46.203125,46.078125,46.109375,27.82610511779785,83100
1994-06-13,46.046875,46.1875,46.03125,46.171875,27.863828659057617,109700
1994-06-14,46.3125,46.546875,46.3125,46.53125,28.080707550048828,161000
1994-06-15,46.546875,46.5625,46.3125,46.34375,27.967557907104492,142800
1994-06-16,46.34375,46.46875,46.296875,46.4375,28.024124145507812,44000
1994-06-17,46.15625,46.203125,45.8125,45.875,27.86771583557129,403800
1994-06-20,45.546875,45.625,45.4375,45.484375,27.63041114807129,137400
1994-06-21,45.453125,45.453125,44.90625,45.09375,27.393112182617188,139200
1994-06-22,45.21875,45.421875,45.171875,45.265625,27.497520446777344,279900
1994-06-23,45.34375,45.40625,44.9375,45.0,27.336172103881836,922500
1994-06-24,44.78125,44.78125,44.0,44.0625,26.766666412353516,353800
1994-06-27,44.234375,44.828125,44.015625,44.828125,27.23175048828125,371200
1994-06-28,44.84375,44.84375,44.25,44.609375,27.098876953125,5382300
1994-06-29,44.671875,45.015625,44.625,44.75,27.184301376342773,311800
1994-06-30,44.828125,44.84375,44.3125,44.46875,27.01344108581543,271900
1994-07-01,44.6875,44.6875,44.375,44.5625,27.070402145385742,406900
1994-07-05,44.65625,44.859375,44.515625,44.796875,27.212772369384766,112000
1994-07-06,44.625,44.8125,44.46875,44.734375,27.17481231689453,174800
1994-07-07,44.734375,44.921875,44.6875,44.921875,27.288700103759766,66700
1994-07-08,44.640625,44.984375,44.625,44.90625,27.279211044311523,148400
1994-07-11,44.9375,45.015625,44.53125,44.75,27.184301376342773,124000
1994-07-12,44.765625,44.828125,44.515625,44.8125,27.222259521484375,257300
1994-07-13,44.828125,45.03125,44.828125,44.890625,27.269725799560547,532700
1994-07-14,45.109375,45.46875,45.078125,45.375,27.563968658447266,494200
1994-07-15,45.34375,45.484375,45.328125,45.390625,27.573444366455078,49100
1994-07-18,45.390625,45.578125,45.390625,45.46875,27.620899200439453,72300
1994-07-19,45.546875,45.5625,45.375,45.375,27.563968658447266,609500
1994-07-20,45.40625,45.40625,45.0625,45.171875,27.440570831298828,185300
1994-07-21,45.171875,45.296875,45.078125,45.265625,27.497520446777344,86300
1994-07-22,45.375,45.40625,45.25,45.34375,27.544981002807617,151600
